post_code,city,province
9750,Kruisem,Oost-Vlaanderen
9790,Wortegem-Petegem,Oost-Vlaanderen
9800,Deinze,Oost-Vlaanderen
9810,Nazareth,Oost-Vlaanderen
9820,Merelbeke,Oost-Vlaanderen
9830,Sint-Martens-Latem,Oost-Vlaanderen
9840,De Pinte,Oost-Vlaanderen
9860,Oosterzele,Oost-Vlaanderen
9870,Zulte,Oost-Vlaanderen
9880+9910,Aalter,Oost-Vlaanderen
9890,Gavere,Oost-Vlaanderen
9900,Eeklo,Oost-Vlaanderen
9920,Lievegem,Oost-Vlaanderen
9940,Evergem,Oost-Vlaanderen
9960,Assenede,Oost-Vlaanderen
9970,Kaprijke,Oost-Vlaanderen
9980,Sint-Laureins,Oost-Vlaanderen
9990,Maldegem,Oost-Vlaanderen
1020,Brussel,Brussels Hoofdstedelijk Gewest
1020,Bruxelles,Brussels Hoofdstedelijk Gewest
1120,Brussel,Brussels Hoofdstedelijk Gewest
1130,Brussel,Brussels Hoofdstedelijk Gewest
1300,Wavre,Brabant wallon
1301,Wavre,Brabant wallon
1315,Incourt,Brabant wallon
1315,Incourt,Brabant wallon
1315,Incourt,Brabant wallon
1315,Incourt,Brabant wallon
1320,Beauvechain,Brabant wallon
1320,Beauvechain,Brabant wallon
1320,Beauvechain,Brabant wallon
1320,Beauvechain,Brabant wallon
1325,Chaumont-Gistoux,Brabant wallon
1325,Chaumont-Gistoux,Brabant wallon
1325,Chaumont-Gistoux,Brabant wallon
1325,Chaumont-Gistoux,Brabant wallon
1325,Chaumont-Gistoux,Brabant wallon
1331,Rixensart,Brabant wallon
1332,Rixensart,Brabant wallon
1340,Ottignies-Louvain-la-Neuve,Brabant wallon
1341,Ottignies-Louvain-la-Neuve,Brabant wallon
1342,Ottignies-Louvain-la-Neuve,Brabant wallon
1348,Ottignies-Louvain-la-Neuve,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1357,Hélécine,Brabant wallon
1357,Hélécine,Brabant wallon
1357,Hélécine,Brabant wallon
1360,Perwez,Brabant wallon
1360,Perwez,Brabant wallon
1360,Perwez,Brabant wallon
1360,Perwez,Brabant wallon
1367,Ramillies,Brabant wallon
1367,Ramillies,Brabant wallon
1367,Ramillies,Brabant wallon
1367,Ramillies,Brabant wallon
1367,Ramillies,Brabant wallon
1367,Ramillies,Brabant wallon
1367,Ramillies,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Jodoigne,Brabant wallon
1380,Lasne,Brabant wallon
1380,Lasne,Brabant wallon
1380,Lasne,Brabant wallon
1380,Lasne,Brabant wallon
1380,Lasne,Brabant wallon
1390,Grez-Doiceau,Brabant wallon
1390,Grez-Doiceau,Brabant wallon
1390,Grez-Doiceau,Brabant wallon
1390,Grez-Doiceau,Brabant wallon
1400,Nivelles,Brabant wallon
1401,Nivelles,Brabant wallon
1402,Nivelles,Brabant wallon
1404,Nivelles,Brabant wallon
1421,Braine-l'Alleud,Brabant wallon
1428,Braine-l'Alleud,Brabant wallon
1430,Rebecq,Brabant wallon
1430,Rebecq,Brabant wallon
1430,Rebecq,Brabant wallon
1435,Mont-Saint-Guibert,Brabant wallon
1435,Mont-Saint-Guibert,Brabant wallon
1440,Braine-le-Château,Brabant wallon
1450,Chastre,Brabant wallon
1450,Chastre,Brabant wallon
1450,Chastre,Brabant wallon
1450,Chastre,Brabant wallon
1457,Walhain,Brabant wallon
1457,Walhain,Brabant wallon
1457,Walhain,Brabant wallon
1460,Ittre,Brabant wallon
1461,Ittre,Brabant wallon
1470,Genappe,Brabant wallon
1470,Genappe,Brabant wallon
1471,Genappe,Brabant wallon
1472,Genappe,Brabant wallon
1473,Genappe,Brabant wallon
1474,Genappe,Brabant wallon
1476,Genappe,Brabant wallon
1480,Tubize,Brabant wallon
1480,Tubize,Brabant wallon
1480,Tubize,Brabant wallon
1495,Villers-la-Ville,Brabant wallon
1495,Villers-la-Ville,Brabant wallon
1495,Villers-la-Ville,Brabant wallon
1495,Villers-la-Ville,Brabant wallon
1501,Halle,Vlaams-Brabant
1502,Halle,Vlaams-Brabant
1540,Herne,Vlaams-Brabant
1541,Herne,Vlaams-Brabant
1570,Galmaarden,Vlaams-Brabant
1570,Galmaarden,Vlaams-Brabant
1600,Sint-Pieters-Leeuw,Vlaams-Brabant
1600,Sint-Pieters-Leeuw,Vlaams-Brabant
1601,Sint-Pieters-Leeuw,Vlaams-Brabant
1602,Sint-Pieters-Leeuw,Vlaams-Brabant
1651,Beersel,Vlaams-Brabant
1652,Beersel,Vlaams-Brabant
1653,Beersel,Vlaams-Brabant
1654,Beersel,Vlaams-Brabant
1670,Pepingen,Vlaams-Brabant
1670,Pepingen,Vlaams-Brabant
1671,Pepingen,Vlaams-Brabant
1673,Pepingen,Vlaams-Brabant
1674,Pepingen,Vlaams-Brabant
1700,Dilbeek,Vlaams-Brabant
1700,Dilbeek,Vlaams-Brabant
1701,Dilbeek,Vlaams-Brabant
1702,Dilbeek,Vlaams-Brabant
1703,Dilbeek,Vlaams-Brabant
1730,Asse,Vlaams-Brabant
1730,Asse,Vlaams-Brabant
1730,Asse,Vlaams-Brabant
1731,Asse,Vlaams-Brabant
1731,Asse,Vlaams-Brabant
1741,Ternat,Vlaams-Brabant
1742,Ternat,Vlaams-Brabant
1745,Opwijk,Vlaams-Brabant
1750,Lennik,Vlaams-Brabant
1750,Lennik,Vlaams-Brabant
1750,Lennik,Vlaams-Brabant
1755,Gooik,Vlaams-Brabant
1755,Gooik,Vlaams-Brabant
1755,Gooik,Vlaams-Brabant
1760,Roosdaal,Vlaams-Brabant
1760,Roosdaal,Vlaams-Brabant
1760,Roosdaal,Vlaams-Brabant
1761,Roosdaal,Vlaams-Brabant
1785,Merchtem,Vlaams-Brabant
1785,Merchtem,Vlaams-Brabant
1790,Affligem,Vlaams-Brabant
1790,Affligem,Vlaams-Brabant
1790,Affligem,Vlaams-Brabant
1800,Vilvoorde,Vlaams-Brabant
1820,Steenokkerzeel,Vlaams-Brabant
1820,Steenokkerzeel,Vlaams-Brabant
1831,Machelen,Vlaams-Brabant
1840,Londerzeel,Vlaams-Brabant
1840,Londerzeel,Vlaams-Brabant
1851,Grimbergen,Vlaams-Brabant
1852,Grimbergen,Vlaams-Brabant
1853,Grimbergen,Vlaams-Brabant
1861,Meise,Vlaams-Brabant
1880,Kapelle-op-den-Bos,Vlaams-Brabant
1880,Kapelle-op-den-Bos,Vlaams-Brabant
1910,Kampenhout,Vlaams-Brabant
1910,Kampenhout,Vlaams-Brabant
1910,Kampenhout,Vlaams-Brabant
1930,Zaventem,Vlaams-Brabant
1932,Zaventem,Vlaams-Brabant
1933,Zaventem,Vlaams-Brabant
1980,Zemst,Vlaams-Brabant
1981,Zemst,Vlaams-Brabant
1982,Zemst,Vlaams-Brabant
1982,Zemst,Vlaams-Brabant
2040,Antwerpen,Antwerpen
2040,Antwerpen,Antwerpen
2040,Antwerpen,Antwerpen
2070,Zwijndrecht,Antwerpen
2100,Antwerpen,Antwerpen
2140,Antwerpen,Antwerpen
2170,Antwerpen,Antwerpen
2180,Antwerpen,Antwerpen
2200,Herentals,Antwerpen
2200,Herentals,Antwerpen
2220,Heist-op-den-Berg,Antwerpen
2221,Heist-op-den-Berg,Antwerpen
2222,Heist-op-den-Berg,Antwerpen
2222,Heist-op-den-Berg,Antwerpen
2223,Heist-op-den-Berg,Antwerpen
2230,Herselt,Antwerpen
2235,Hulshout,Antwerpen
2235,Hulshout,Antwerpen
2240,Zandhoven,Antwerpen
2240,Zandhoven,Antwerpen
2242,Zandhoven,Antwerpen
2243,Zandhoven,Antwerpen
2260,Westerlo,Antwerpen
2260,Westerlo,Antwerpen
2260,Westerlo,Antwerpen
2275,Lille,Antwerpen
2275,Lille,Antwerpen
2275,Lille,Antwerpen
2288,Grobbendonk,Antwerpen
2321,Hoogstraten,Antwerpen
2322,Hoogstraten,Antwerpen
2323,Hoogstraten,Antwerpen
2328,Hoogstraten,Antwerpen
2340,Beerse,Antwerpen
2381,Ravels,Antwerpen
2382,Ravels,Antwerpen
2390,Malle,Antwerpen
2390,Malle,Antwerpen
2430,Laakdal,Antwerpen
2430,Laakdal,Antwerpen
2431,Laakdal,Antwerpen
2431,Laakdal,Antwerpen
2460,Kasterlee,Antwerpen
2460,Kasterlee,Antwerpen
2491,Balen,Antwerpen
2500,Lier,Antwerpen
2520,Ranst,Antwerpen
2520,Ranst,Antwerpen
2520,Ranst,Antwerpen
2531,Boechout,Antwerpen
2550,Kontich,Antwerpen
2560,Nijlen,Antwerpen
2560,Nijlen,Antwerpen
2580,Putte,Antwerpen
2590,Berlaar,Antwerpen
2600,Antwerpen,Antwerpen
2610,Antwerpen,Antwerpen
2660,Antwerpen,Antwerpen
2800,Mechelen,Antwerpen
2801,Mechelen,Antwerpen
2811,Mechelen,Antwerpen
2811,Mechelen,Antwerpen
2812,Mechelen,Antwerpen
2820,Bonheiden,Antwerpen
2830,Willebroek,Antwerpen
2830,Willebroek,Antwerpen
2830,Willebroek,Antwerpen
2840,Rumst,Antwerpen
2840,Rumst,Antwerpen
2861,Sint-Katelijne-Waver,Antwerpen
2870,Puurs-Sint-Amands,Antwerpen
2870,Puurs-Sint-Amands,Antwerpen
2870,Puurs-Sint-Amands,Antwerpen
2880,Bornem,Antwerpen
2880,Bornem,Antwerpen
2880,Bornem,Antwerpen
2890,Puurs-Sint-Amands,Antwerpen
2890,Puurs-Sint-Amands,Antwerpen
2940,Stabroek,Antwerpen
2960,Brecht,Antwerpen
2960,Brecht,Antwerpen
2970,Schilde,Antwerpen
2980,Zoersel,Antwerpen
2990,Wuustwezel,Antwerpen
3001,Leuven,Vlaams-Brabant
3010,Leuven,Vlaams-Brabant
3012,Leuven,Vlaams-Brabant
3018,Leuven,Vlaams-Brabant
3020,Herent,Vlaams-Brabant
3020,Herent,Vlaams-Brabant
3040,Huldenberg,Vlaams-Brabant
3040,Huldenberg,Vlaams-Brabant
3040,Huldenberg,Vlaams-Brabant
3040,Huldenberg,Vlaams-Brabant
3051,Oud-Heverlee,Vlaams-Brabant
3052,Oud-Heverlee,Vlaams-Brabant
3053,Oud-Heverlee,Vlaams-Brabant
3054,Oud-Heverlee,Vlaams-Brabant
3060,Bertem,Vlaams-Brabant
3061,Bertem,Vlaams-Brabant
3071,Kortenberg,Vlaams-Brabant
3078,Kortenberg,Vlaams-Brabant
3078,Kortenberg,Vlaams-Brabant
3080,Tervuren,Vlaams-Brabant
3080,Tervuren,Vlaams-Brabant
3111,Rotselaar,Vlaams-Brabant
3118,Rotselaar,Vlaams-Brabant
3128,Tremelo,Vlaams-Brabant
3130,Begijnendijk,Vlaams-Brabant
3150,Haacht,Vlaams-Brabant
3150,Haacht,Vlaams-Brabant
3191,Boortmeerbeek,Vlaams-Brabant
3200,Aarschot,Vlaams-Brabant
3201,Aarschot,Vlaams-Brabant
3202,Aarschot,Vlaams-Brabant
3210,Lubbeek,Vlaams-Brabant
3211,Lubbeek,Vlaams-Brabant
3212,Lubbeek,Vlaams-Brabant
3220,Holsbeek,Vlaams-Brabant
3220,Lubbeek,Vlaams-Brabant
3221,Holsbeek,Vlaams-Brabant
3270,Scherpenheuvel-Zichem,Vlaams-Brabant
3271,Scherpenheuvel-Zichem,Vlaams-Brabant
3271,Scherpenheuvel-Zichem,Vlaams-Brabant
3272,Scherpenheuvel-Zichem,Vlaams-Brabant
3272,Scherpenheuvel-Zichem,Vlaams-Brabant
3290,Diest,Vlaams-Brabant
3290,Diest,Vlaams-Brabant
3290,Diest,Vlaams-Brabant
3293,Diest,Vlaams-Brabant
3294,Diest,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3300,Tienen,Vlaams-Brabant
3320,Hoegaarden,Vlaams-Brabant
3321,Hoegaarden,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3350,Linter,Vlaams-Brabant
3360,Bierbeek,Vlaams-Brabant
3360,Bierbeek,Vlaams-Brabant
3360,Bierbeek,Vlaams-Brabant
3370,Boutersem,Vlaams-Brabant
3370,Boutersem,Vlaams-Brabant
3370,Boutersem,Vlaams-Brabant
3370,Boutersem,Vlaams-Brabant
3370,Boutersem,Vlaams-Brabant
3380,Glabbeek,Vlaams-Brabant
3380,Glabbeek,Vlaams-Brabant
3381,Glabbeek,Vlaams-Brabant
3384,Glabbeek,Vlaams-Brabant
3390,Tielt-Winge,Vlaams-Brabant
3390,Tielt-Winge,Vlaams-Brabant
3390,Tielt-Winge,Vlaams-Brabant
3391,Tielt-Winge,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3400,Landen,Vlaams-Brabant
3401,Landen,Vlaams-Brabant
3401,Landen,Vlaams-Brabant
3401,Landen,Vlaams-Brabant
3401,Landen,Vlaams-Brabant
3404,Landen,Vlaams-Brabant
3404,Landen,Vlaams-Brabant
3440,Zoutleeuw,Vlaams-Brabant
3440,Zoutleeuw,Vlaams-Brabant
3440,Zoutleeuw,Vlaams-Brabant
3440,Zoutleeuw,Vlaams-Brabant
3450,Geetbets,Vlaams-Brabant
3454,Geetbets,Vlaams-Brabant
3460,Bekkevoort,Vlaams-Brabant
3461,Bekkevoort,Vlaams-Brabant
3470,Kortenaken,Vlaams-Brabant
3471,Kortenaken,Vlaams-Brabant
3472,Kortenaken,Vlaams-Brabant
3473,Kortenaken,Vlaams-Brabant
3500,Hasselt,Limburg
3501,Hasselt,Limburg
3510,Hasselt,Limburg
3510,Hasselt,Limburg
3511,Hasselt,Limburg
3511,Hasselt,Limburg
3512,Hasselt,Limburg
3530,Houthalen-Helchteren,Limburg
3530,Houthalen-Helchteren,Limburg
3540,Herk-de-Stad,Limburg
3540,Herk-de-Stad,Limburg
3540,Herk-de-Stad,Limburg
3545,Halen,Limburg
3545,Halen,Limburg
3550,Heusden-Zolder,Limburg
3550,Heusden-Zolder,Limburg
3560,Lummen,Limburg
3560,Lummen,Limburg
3581,Beringen,Limburg
3582,Beringen,Limburg
3583,Beringen,Limburg
3620,Lanaken,Limburg
3620,Lanaken,Limburg
3620,Lanaken,Limburg
3621,Lanaken,Limburg
3630,Maasmechelen,Limburg
3630,Maasmechelen,Limburg
3630,Maasmechelen,Limburg
3630,Maasmechelen,Limburg
3630,Maasmechelen,Limburg
3630,Maasmechelen,Limburg
3631,Maasmechelen,Limburg
3631,Maasmechelen,Limburg
3640,Kinrooi,Limburg
3640,Kinrooi,Limburg
3640,Kinrooi,Limburg
3650,Dilsen-Stokkem,Limburg
3650,Dilsen-Stokkem,Limburg
3650,Dilsen-Stokkem,Limburg
3650,Dilsen-Stokkem,Limburg
3650,Dilsen-Stokkem,Limburg
3668,As,Limburg
3670,Oudsbergen,Limburg
3670,Oudsbergen,Limburg
3670,Oudsbergen,Limburg
3670,Oudsbergen,Limburg
3670,Oudsbergen,Limburg
3680,Maaseik,Limburg
3680,Maaseik,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3700,Tongeren,Limburg
3721,Kortessem,Limburg
3722,Kortessem,Limburg
3723,Kortessem,Limburg
3724,Kortessem,Limburg
3730,Hoeselt,Limburg
3730,Hoeselt,Limburg
3730,Hoeselt,Limburg
3732,Hoeselt,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3740,Bilzen,Limburg
3742,Bilzen,Limburg
3746,Bilzen,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3770,Riemst,Limburg
3790,Voeren,Limburg
3790,Voeren,Limburg
3790,Voeren,Limburg
3790,Voeren,Limburg
3791,Voeren,Limburg
3792,Voeren,Limburg
3792,Voeren,Limburg
3793,Voeren,Limburg
3798,Voeren,Limburg
3798,Voeren,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3800,Sint-Truiden,Limburg
3803,Sint-Truiden,Limburg
3803,Sint-Truiden,Limburg
3803,Sint-Truiden,Limburg
3803,Sint-Truiden,Limburg
3806,Sint-Truiden,Limburg
3830,Wellen,Limburg
3831,Wellen,Limburg
3832,Wellen,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3840,Borgloon,Limburg
3850,Nieuwerkerken,Limburg
3850,Nieuwerkerken,Limburg
3850,Nieuwerkerken,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3870,Heers,Limburg
3890,Gingelom,Limburg
3890,Gingelom,Limburg
3890,Gingelom,Limburg
3890,Gingelom,Limburg
3890,Gingelom,Limburg
3890,Gingelom,Limburg
3891,Gingelom,Limburg
3891,Gingelom,Limburg
3891,Gingelom,Limburg
3891,Gingelom,Limburg
3891,Gingelom,Limburg
3910,Pelt,Limburg
3930,Hamont-Achel,Limburg
3930,Hamont-Achel,Limburg
3940,Hechtel-Eksel,Limburg
3941,Hechtel-Eksel,Limburg
3945,Ham,Limburg
3945,Ham,Limburg
3950,Bocholt,Limburg
3950,Bocholt,Limburg
3960,Bree,Limburg
3960,Bree,Limburg
3960,Bree,Limburg
3960,Bree,Limburg
3971,Leopoldsburg,Limburg
3990,Peer,Limburg
3990,Peer,Limburg
3990,Peer,Limburg
4000,Liège,Liège
4000,Liège,Liège
4020,Liège,Liège
4020,Liège,Liège
4020,Liège,Liège
4030,Liège,Liège
4031,Liège,Liège
4032,Liège,Liège
4041,Herstal,Liège
4041,Herstal,Liège
4042,Herstal,Liège
4051,Chaudfontaine,Liège
4052,Chaudfontaine,Liège
4053,Chaudfontaine,Liège
4100,Seraing,Liège
4101,Seraing,Liège
4102,Seraing,Liège
4120,Neupré,Liège
4120,Neupré,Liège
4121,Neupré,Liège
4122,Neupré,Liège
4130,Esneux,Liège
4140,Sprimont,Liège
4140,Sprimont,Liège
4140,Sprimont,Liège
4141,Sprimont,Liège
4161,Anthisnes,Liège
4162,Anthisnes,Liège
4163,Anthisnes,Liège
4171,Comblain-au-Pont,Liège
4180,Hamoir,Liège
4181,Hamoir,Liège
4190,Ferrières,Liège
4190,Ferrières,Liège
4190,Ferrières,Liège
4190,Ferrières,Liège
4210,Burdinne,Liège
4210,Burdinne,Liège
4210,Burdinne,Liège
4210,Burdinne,Liège
4210,Burdinne,Liège
4217,Héron,Liège
4217,Héron,Liège
4218,Héron,Liège
4219,Wasseiges,Liège
4219,Wasseiges,Liège
4219,Wasseiges,Liège
4250,Geer,Liège
4250,Geer,Liège
4250,Geer,Liège
4252,Geer,Liège
4253,Geer,Liège
4254,Geer,Liège
4257,Berloz,Liège
4257,Berloz,Liège
4260,Braives,Liège
4260,Braives,Liège
4260,Braives,Liège
4260,Braives,Liège
4260,Braives,Liège
4261,Braives,Liège
4263,Braives,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4280,Hannut,Liège
4287,Lincent,Liège
4287,Lincent,Liège
4300,Waremme,Liège
4300,Waremme,Liège
4300,Waremme,Liège
4300,Waremme,Liège
4300,Waremme,Liège
4300,Waremme,Liège
4317,Faimes,Liège
4317,Faimes,Liège
4317,Faimes,Liège
4317,Faimes,Liège
4317,Faimes,Liège
4340,Awans,Liège
4340,Awans,Liège
4340,Awans,Liège
4342,Awans,Liège
4347,Fexhe-le-Haut-Clocher,Liège
4347,Fexhe-le-Haut-Clocher,Liège
4347,Fexhe-le-Haut-Clocher,Liège
4347,Fexhe-le-Haut-Clocher,Liège
4350,Remicourt,Liège
4350,Remicourt,Liège
4350,Remicourt,Liège
4351,Remicourt,Liège
4357,Donceel,Liège
4357,Donceel,Liège
4357,Donceel,Liège
4360,Oreye,Liège
4360,Oreye,Liège
4360,Oreye,Liège
4360,Oreye,Liège
4367,Crisnée,Liège
4367,Crisnée,Liège
4367,Crisnée,Liège
4367,Crisnée,Liège
4400,Flémalle,Liège
4400,Flémalle,Liège
4400,Flémalle,Liège
4400,Flémalle,Liège
4400,Flémalle,Liège
4400,Flémalle,Liège
4400,Flémalle,Liège
4420,Saint-Nicolas,Liège
4420,Saint-Nicolas,Liège
4431,Ans,Liège
4432,Ans,Liège
4432,Ans,Liège
4450,Juprelle,Liège
4450,Juprelle,Liège
4451,Juprelle,Liège
4452,Juprelle,Liège
4452,Juprelle,Liège
4453,Juprelle,Liège
4458,Juprelle,Liège
4460,Grâce-Hollogne,Liège
4460,Grâce-Hollogne,Liège
4460,Grâce-Hollogne,Liège
4460,Grâce-Hollogne,Liège
4460,Grâce-Hollogne,Liège
4480,Engis,Liège
4480,Engis,Liège
4500,Huy,Liège
4500,Huy,Liège
4500,Huy,Liège
4520,Wanze,Liège
4520,Wanze,Liège
4520,Wanze,Liège
4520,Wanze,Liège
4520,Wanze,Liège
4530,Villers-le-Bouillet,Liège
4530,Villers-le-Bouillet,Liège
4530,Villers-le-Bouillet,Liège
4530,Villers-le-Bouillet,Liège
4537,Verlaine,Liège
4537,Verlaine,Liège
4540,Amay,Liège
4540,Amay,Liège
4540,Amay,Liège
4540,Amay,Liège
4550,Nandrin,Liège
4550,Nandrin,Liège
4550,Nandrin,Liège
4557,Tinlot,Liège
4557,Tinlot,Liège
4557,Tinlot,Liège
4557,Tinlot,Liège
4557,Tinlot,Liège
4560,Clavier,Liège
4560,Clavier,Liège
4560,Clavier,Liège
4560,Clavier,Liège
4560,Clavier,Liège
4570,Marchin,Liège
4577,Modave,Liège
4577,Modave,Liège
4577,Modave,Liège
4577,Modave,Liège
